,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
,,,,,,1200,0.2634854,0.1582842,0.174893,0.2180122,0.1853256,-0.039164466,-0.02762,0.07981448,-0.06361672,0.0505881,0.425224
,,,,,,1300,0.26541,0.158479,0.1749342,0.2178654,0.1833112,-0.0687258,-0.03132,0.11571966,-0.08482136,0.0691451,0.4993194
11,0.2,0.15,0.25,0.2,0.2,1000,0.2378036,0.1594516,0.177123,0.2461532,0.1794684,-0.1583218,-0.0336,0.314286,-0.2010508,0.07869024,0.4550704
,,,,,,1100,0.2332556,0.1568148,0.1900044,0.2394354,0.1804898,-0.1300958,-0.0225,0.2367376,-0.1540014,0.06986016,0.4199662
,,,,,,1200,0.2212856,0.158399,0.2109938,0.226765,0.1825562,-0.08364194,-0.02488,0.152367,-0.10878512,0.06493894,0.4515856
,,,,,,1300,0.2142434,0.1579994,0.2249858,0.218656,0.184116,-0.05580676,-0.03115,0.10601308,-0.0819501,0.0628934,0.4472184
12,0.2,0.15,0.2,0.25,0.2,1000,0.2258672,0.1562032,0.1474656,0.2909634,0.1795008,-0.1135817,-0.02483,0.2309062,-0.1759164,0.08342632,0.4357374
,,,,,,1100,0.223627,0.1562718,0.151738,0.2874806,0.1808824,-0.09648454,-0.01985,0.195208,-0.1519556,0.07308352,0.4240254
,,,,,,1200,0.2148044,0.1578386,0.1663694,0.2772264,0.1837608,-0.0592674,-0.03204,0.1451122,-0.11716886,0.0633651,0.4639236
,,,,,,1300,0.2089228,0.157511,0.1800246,0.268956,0.1845854,-0.022880094,-0.03054,0.06945262,-0.0665277,0.05049382,0.4422868
13,0.2,0.15,0.2,0.2,0.25,1000,0.2210594,0.1573916,0.1568618,0.2307492,0.233938,-0.10158956,-0.02819,0.2087098,-0.1440014,0.06506726,0.452436
,,,,,,1100,0.2181126,0.1575524,0.1672776,0.2223672,0.2346906,-0.07121312,-0.02316,0.125028,-0.08827912,0.05762952,0.3952742
,,,,,,1200,0.2115894,0.1576644,0.1734868,0.2205778,0.2366814,-0.042214,-0.02942,0.10150178,-0.07695954,0.04709272,0.4315622
,,,,,,1300,0.209538,0.1584886,0.1804124,0.2155514,0.2360094,-0.02599976,-0.02818,0.0625238,-0.0560495,0.04770456,0.451018
14,0.3,0.1,0.2,0.2,0.2,1000,0.3465046,0.102624,0.1300434,0.241669,0.179159,-0.21062,-0.01204,0.3211022,-0.1843466,0.08590818,0.4711212
,,,,,,1100,0.3391782,0.1042944,0.1446184,0.2325578,0.1793514,-0.1575036,-0.01571,0.22085,-0.1304084,0.08277048,0.464493
,,,,,,1200,0.3239828,0.1053954,0.1652934,0.2231026,0.1822258,-0.11570016,-0.02132,0.1763224,-0.1135274,0.07422134,0.4854724
