,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,
41,0.2,0.2,0.2,0.3,0.1,1000,0.2357416,0.2070178,0.1208754,0.3597406,0.07662448,-0.155582,-0.02686,0.3528258,-0.2670388,0.09665366,0.4328164
,,,,,,1100,0.2216126,0.2044282,0.1538426,0.3382974,0.0818194,-0.0890796,-0.01218,0.1805148,-0.149352,0.070099,0.4060646
,,,,,,1200,0.210541,0.206382,0.1737898,0.3215682,0.08771946,-0.035112456,-0.01712,0.08998934,-0.08110802,0.04335416,0.4095776
,,,,,,1300,0.207839,0.2069188,0.1812456,0.316273,0.08772414,-0.028459112,-0.02517,0.07011874,-0.06066724,0.04418124,0.4143704
42,0.05,0.35,0.2,0.2,0.2,1000,0.05378548,0.3638506,0.17322,0.2210742,0.1880698,-0.011583222,-0.05195,0.10690334,-0.0832545,0.0398863,0.3822392
,,,,,,1100,0.05320356,0.360541,0.1834042,0.212798,0.1900532,-0.009397322,-0.03393,0.05621806,-0.0451913,0.03229636,0.3744342
,,,,,,1200,0.05175054,0.3622222,0.1847754,0.2121598,0.1890924,-0.003848464,-0.05481,0.06535254,-0.04834226,0.04164884,0.4260418
,,,,,,1300,0.05118596,0.3596434,0.1897404,0.2066542,0.192776,-0.004171624,-0.03793,0.04889406,-0.03665112,0.029854982,0.4023838
43,0.05,0.2,0.35,0.2,0.2,1000,0.06076352,0.2143946,0.2988932,0.2417626,0.1841856,-0.04108918,-0.0526,0.1905188,-0.1519104,0.05508332,0.4116318
,,,,,,1100,0.05600474,0.2127148,0.3171384,0.228503,0.185639,-0.02073562,-0.0424,0.10828914,-0.09508372,0.049935,0.4339998
,,,,,,1200,0.05407614,0.2105724,0.3280336,0.2198476,0.1874702,-0.01662552,-0.04083,0.09590098,-0.0824755,0.0440308,0.429358
,,,,,,1300,0.0541621,0.2099526,0.3301626,0.2163622,0.1893604,-0.016306448,-0.03855,0.07986474,-0.06201726,0.03700968,0.405402
44,0.05,0.2,0.2,0.35,0.2,1000,0.05943124,0.2108134,0.1373416,0.4173216,0.175092,-0.0401475,-0.04381,0.257216,-0.268907,0.09564596,0.4435192
,,,,,,1100,0.05711076,0.208967,0.1585042,0.394054,0.181364,-0.020484402,-0.02751,0.123201,-0.1383906,0.06318356,0.3989532
,,,,,,1200,0.05277874,0.2073952,0.1753218,0.378455,0.1860492,-0.007301254,-0.02237,0.06667052,-0.08236966,0.04537036,0.4000134
,,,,,,1300,0.0529777,0.207404,0.17813,0.373013,0.188475,-0.00887214,-0.02607,0.08526764,-0.09366138,0.04333226,0.429731
45,0.05,0.2,0.2,0.2,0.35,1000,0.05335154,0.2109316,0.1744766,0.2190956,0.3421446,-0.015465548,-0.0369,0.0970066,-0.07220166,0.02756518,0.4338582
,,,,,,1100,0.0517089,0.2075814,0.1863246,0.2125682,0.341817,-0.00854457,-0.02441,0.05416016,-0.04822478,0.027014476,0.3859492
,,,,,,1200,0.05072422,0.2117092,0.1855096,0.2111758,0.3408812,-0.002092322,-0.04684,0.05758064,-0.04390602,0.0352555,0.41735
,,,,,,1300,0.05202342,0.2120732,0.1829504,0.2126504,0.3403026,-0.004315762,-0.04443,0.06046302,-0.04608164,0.03436122,0.4937022
46,0.35,0.05,0.2,0.2,0.2,1000,0.4102246,0.05021322,0.1163748,0.2467804,0.1764072,-0.2525504,-0.00101,0.3520894,-0.1936254,0.09509176,0.4512714
,sample5,,,,,1100,0.3942194,0.05149622,0.1424366,0.2322492,0.1795982,-0.1800872,-0.00735,0.2364926,-0.1308206,0.08176246,0.4401756
,,,,,,1200,0.3886788,0.05179342,0.150599,0.2291204,0.1798082,-0.1601336,-0.00862,0.2101816,-0.1168532,0.07542192,0.4908094
,,,,,,1300,0.3812584,0.05374694,0.158165,0.2264714,0.1803582,-0.1231012,-0.01451,0.1709956,-0.11151312,0.07813096,0.514788
47,0.2,0.05,0.35,0.2,0.2,1000,0.2662576,0.05530668,0.2226738,0.278892,0.1768698,-0.2930596,-0.02167,0.5641244,-0.3399624,0.0905661,0.5116962
,,,,,,1100,0.2507908,0.05462676,0.2532554,0.2608844,0.1804424,-0.2194532,-0.01718,0.4271214,-0.2648136,0.07432448,0.4826658
,,,,,,1200,0.2417914,0.05425966,0.2726178,0.2494118,0.181919,-0.1650694,-0.01485,0.3117984,-0.2012486,0.0693712,0.4329154
,,,,,,1300,0.2223062,0.05442688,0.3080274,0.2325232,0.182716,-0.10724794,-0.01341,0.1970316,-0.1427836,0.06641192,0.4724914
48,0.2,0.05,0.2,0.35,0.2,1000,0.243243,0.05199962,0.09719788,0.4420834,0.1654764,-0.1870792,-0.00545,0.4441648,-0.3948974,0.14326,0.4925834
,sample1,,final HEA2,,,1100,0.231328,0.05098754,0.1303802,0.4137888,0.173515,-0.1228802,-0.00348,0.2723118,-0.2484956,0.10254692,0.4554908
,,,,,,1200,0.2222918,0.05066068,0.1491884,0.3998804,0.1779784,-0.07355014,-0.0007,0.1694662,-0.1718248,0.07661116,0.439581
,,,,,,1300,0.2181594,0.05201818,0.159419,0.3930152,0.1773878,-0.07048092,-0.00781,0.1618878,-0.1725164,0.08892448,0.5074024
49,0.2,0.05,0.2,0.2,0.35,1000,0.2189666,0.05391672,0.1614706,0.2304782,0.335168,-0.0543703,-0.01257,0.11824254,-0.10416572,0.05286626,0.404528
,,,,,,1100,0.215905,0.05418412,0.1675822,0.2281238,0.3342052,-0.04760426,-0.01703,0.10823446,-0.09936752,0.05576628,0.4624578
,,,,,,1200,0.209473,0.0551976,0.1775564,0.2221462,0.335627,-0.02845438,-0.02061,0.07751254,-0.08165066,0.05320262,0.5154908
,,,,,,1300,0.2059846,0.05644234,0.182795,0.219821,0.3349576,-0.023175004,-0.02658,0.08016066,-0.08970318,0.0593022,0.5606762
50,0.35,0.2,0.05,0.2,0.2,1000,0.3490642,0.2100116,0.04734824,0.2031648,0.1904114,0.0002578,-0.03202,0.011549014,-0.01704002,0.0372516,0.380574
,,,,,,1100,0.3526916,0.207553,0.0466947,0.2029144,0.1901466,0.000444547,-0.03445,0.006606739,-0.007947884,0.03534652,0.3879176
,,,,,,1200,0.3495536,0.2105614,0.04597808,0.2033364,0.1905702,0.002392747,-0.04042,0.019242832,-0.02091848,0.0397004,0.414902
,,,,,,1300,0.3486662,0.2101566,0.04769436,0.2030182,0.1904648,0.009031882,-0.03903,0.007308846,-0.010310228,0.03299827,0.4359146
51,0.2,0.35,0.05,0.2,0.2,1000,0.2018202,0.3582066,0.04545412,0.2029454,0.1915738,-0.01663239,-0.02654,0.0240568,-0.017636532,0.03675154,0.3857788
,,,,,,1100,0.199024,0.3603876,0.04590854,0.2016942,0.1929856,0.005621982,-0.0298,0.013398638,-0.010467712,0.021248048,0.3800706
,,,,,,1200,0.199173,0.3615046,0.04613612,0.2014682,0.191718,0.00084761,-0.0468,0.01657212,-0.006548234,0.035925586,0.3961928
,,,,,,1300,0.200678,0.3610176,0.04536718,0.201723,0.1912144,-0.006311436,-0.04185,0.020195362,-0.007162754,0.03512472,0.4235566
52,0.2,0.2,0.05,0.35,0.2,1000,0.1984902,0.206735,0.042691,0.3618342,0.1902496,0.014136308,-0.02902,0.021780766,-0.04120086,0.03430222,0.379821
,,,,,,1100,0.2004422,0.2067244,0.04407148,0.3590984,0.1896634,-0.00274908,-0.02097,0.02709382,-0.03786834,0.0344984,0.3936834
,,,,,,1200,0.2023806,0.2051132,0.0450698,0.3574146,0.1900222,-0.004179486,-0.01647,0.01698838,-0.0297798,0.033436258,0.378545
,,,,,,1300,0.198573,0.207815,0.0467701,0.3553866,0.1914552,0.005077278,-0.02464,0.011952282,-0.0226748,0.03028368,0.416307
53,0.2,0.2,0.05,0.2,0.35,1000,0.1989634,0.2099304,0.04409044,0.2075212,0.3394944,0.00479003,-0.03807,0.025336234,-0.032896668,0.0408413,0.424256
,,,,,,1100,0.198953,0.2087304,0.04508618,0.2090002,0.3382304,0.003721618,-0.02398,0.017634818,-0.03795296,0.04057518,0.4000778
,,,,,,1200,0.1970012,0.2110986,0.04649494,0.2072778,0.3381274,0.010033861,-0.04145,0.010554438,-0.0228651,0.04372202,0.4127036
,,,,,,1300,0.1964052,0.2133458,0.0458789,0.2082076,0.336162,0.013937438,-0.04773,0.015421856,-0.029184128,0.0475539,0.4729378
54,0.35,0.2,0.2,0.05,0.2,1000,0.3799846,0.2080586,0.1687112,0.05596404,0.1872812,-0.1316557,-0.02973,0.1432236,-0.02784386,0.04600712,0.4056938
,,,,,,1100,0.3733334,0.2089646,0.1759532,0.05429168,0.187457,-0.07128142,-0.03828,0.08021754,-0.0119379,0.04128288,0.3980552
,,,,,,1200,0.3630828,0.2099128,0.1858434,0.05263896,0.1885226,-0.04811122,-0.03396,0.05556254,-0.01195103,0.03846376,0.4144908
,,,,,,1300,0.3612496,0.2121804,0.1888652,0.05181168,0.185893,-0.0398642,-0.04272,0.039168468,-0.006413894,0.04983232,0.4544516
55,0.2,0.35,0.2,0.05,0.2,1000,0.2129074,0.3632546,0.1809974,0.0529121,0.1899284,-0.04467044,-0.04392,0.0644574,-0.011686364,0.03582064,0.3900502
,,,,,,1100,0.2111974,0.3616484,0.1845154,0.05268192,0.1899564,-0.04138056,-0.04216,0.06057128,-0.012254258,0.035225716,0.3951388
,,,,,,1200,0.2037022,0.3639282,0.1924848,0.05080866,0.189076,-0.021513052,-0.0515,0.03825096,-0.007351598,0.04211824,0.4112828
,,,,,,1300,0.2041588,0.3626452,0.192012,0.05175898,0.189425,-0.02933542,-0.04364,0.04082704,-0.009918776,0.04206972,0.4283602
56,0.2,0.2,0.35,0.05,0.2,1000,0.2260452,0.2130206,0.3110814,0.05878478,0.1910678,-0.1164892,-0.05218,0.179032,-0.04096352,0.03059892,0.4181114
,,,,,,1100,0.2148096,0.2110718,0.3291222,0.05518038,0.1898162,-0.050669748,-0.03822,0.07230358,-0.018375554,0.03496124,0.3903064
,,,,,,1200,0.2116996,0.2127942,0.3315554,0.0551349,0.188816,-0.05114594,-0.0446,0.0800918,-0.02277562,0.03843148,0.4253322
,,,,,,1300,0.2046568,0.2126086,0.3404466,0.05228598,0.190002,-0.0246123,-0.04867,0.0492019,-0.012336492,0.03642162,0.4413348
57,0.2,0.2,0.2,0.05,0.35,1000,0.2076514,0.211756,0.1837706,0.05379896,0.3430228,-0.025674144,-0.04094,0.06061308,-0.01503833,0.021037094,0.3833022
,,,,,,1100,0.201812,0.2136618,0.1890184,0.0530663,0.3424412,-0.008503958,-0.05504,0.04708106,-0.012632912,0.02909774,0.4203808
,,,,,,1200,0.2022878,0.2127526,0.1896346,0.05419742,0.3411278,0.003858884,-0.04061,0.02514162,-0.01433912,0.0259498,0.4010786
,,,,,,1300,0.1989724,0.2181536,0.191845,0.0523848,0.3386438,0.004018698,-0.06814,0.035371992,-0.009212792,0.03796156,0.4962002
58,0.35,0.2,0.2,0.2,0.05,1000,0.3679494,0.2087044,0.1700928,0.2120128,0.04124054,-0.1518218,-0.03131,0.2420444,-0.1091181,0.05020118,0.3905838
,,,,,,1100,0.359543,0.2076044,0.186656,0.203215,0.0429821,-0.0813859,-0.02432,0.10749972,-0.0375603,0.03576808,0.3863606
,,,,,,1200,0.357906,0.2068808,0.1888114,0.202555,0.04384698,-0.0476555,-0.0225,0.06094344,-0.016964294,0.02617454,0.4005554
,,,,,,1300,0.3391058,0.2095236,0.2121632,0.1919526,0.04725516,0.043533848,-0.03666,-0.04596686,0.02993406,0.009161246,0.3805458
59,0.2,0.35,0.2,0.2,0.05,1000,0.204037,0.359596,0.1897892,0.2033718,0.04320528,-0.01792397,-0.03406,0.041709728,-0.015678738,0.02595481,0.3747556
,,final HEA4,,,,1100,0.203296,0.3579128,0.1938662,0.2006208,0.0443043,-0.008125038,-0.02824,0.023563498,-0.0072996,0.02010428,0.4018436
,,,,,,1200,0.2000408,0.3568762,0.2007416,0.1973836,0.04495814,0.02337878,-0.02848,-0.03758746,0.03200304,0.010685288,0.3669354
,,,,,,1300,0.1985358,0.358735,0.2007462,0.196811,0.04517194,0.004903238,-0.03476,0.00594893,0.00518542,0.018724332,0.3852378
60,0.2,0.2,0.35,0.2,0.05,1000,0.240913,0.2117458,0.2690724,0.2421964,0.03607206,-0.248763,-0.05767,0.49356,-0.2580256,0.07089402,0.4183696
,,,,,,1100,0.225531,0.2082272,0.301371,0.2260932,0.03877744,-0.09819042,-0.02867,0.1866038,-0.10354494,0.0438037,0.4089536
,,,,,,1200,0.2151624,0.2070532,0.319812,0.2174002,0.04057234,-0.09421928,-0.02529,0.1785512,-0.09961536,0.04056898,0.4196596
,,,,,,1300,0.1971932,0.2076826,0.3531586,0.1979422,0.0440233,-0.012955004,-0.0349,0.0385504,-0.01697397,0.02628036,0.406718
61,0.2,0.2,0.2,0.35,0.05,1000,0.2298214,0.2049678,0.1275398,0.4046108,0.03306034,-0.1289132,-0.01671,0.3145926,-0.2384626,0.06949182,0.4068706
,sample3,,final HEA1,,,1100,0.2179356,0.2029174,0.164423,0.3755308,0.0391931,-0.07934878,-0.01556,0.1744642,-0.12327242,0.04371324,0.3948404
,,,,,,1200,0.2103002,0.2035946,0.1777978,0.3660012,0.04230608,-0.05976316,-0.01239,0.1367132,-0.10092446,0.03636018,0.4349362
,,,,,,1300,0.2044576,0.2071386,0.1918672,0.3528028,0.04373392,-0.010071671,-0.02546,0.021717838,-0.005649032,0.01945866,0.4333092
62,0.15,0.15,0.25,0.25,0.2,1000,0.1841868,0.1581016,0.1681838,0.3137608,0.1757674,-0.1521832,-0.02599,0.3547602,-0.2750646,0.09847938,0.4485782
,,,,,,1100,0.171051,0.1568484,0.1999144,0.2906026,0.1815834,-0.08565408,-0.02395,0.2044886,-0.1683084,0.07342102,0.4272554
,,,,,,1200,0.1629,0.1564196,0.2177794,0.2792684,0.1836324,-0.04624524,-0.02872,0.11861562,-0.10637376,0.06272442,0.421455
,,,,,,1300,0.156319,0.1585568,0.2291226,0.2686538,0.1873476,-0.026708518,-0.0334,0.08771888,-0.07277392,0.04516518,0.4548664
63,0.15,0.25,0.15,0.25,0.2,1000,0.1618466,0.2575,0.1198114,0.276485,0.1843572,-0.04407066,-0.02507,0.11408328,-0.10333032,0.05838466,0.3870776
,,,,,,1100,0.159705,0.2582054,0.1300196,0.265698,0.186372,-0.0325249,-0.03208,0.076669,-0.06151644,0.04945658,0.41439
,,,,,,1200,0.1549804,0.2565256,0.1369168,0.2626132,0.1889646,-0.0221005,-0.01929,0.05306446,-0.0538439,0.04216618,0.4055014
,,,,,,1300,0.1524268,0.259394,0.1399236,0.2595748,0.1886808,-0.008368283,-0.03511,0.0422596,-0.03713832,0.03836084,0.4084864
64,0.15,0.25,0.25,0.15,0.2,1000,0.1652212,0.2614218,0.2152268,0.1724828,0.1856472,-0.0595616,-0.03991,0.1422214,-0.09760024,0.05484926,0.4081156
,,,,,,1100,0.1637418,0.26153,0.2207402,0.165628,0.1883604,-0.05460842,-0.0412,0.11021944,-0.05444886,0.04003524,0.4060296
,,,,,,1200,0.1564244,0.2609806,0.2331962,0.1615634,0.1878354,-0.02385928,-0.04262,0.06243856,-0.0435252,0.04756164,0.4127078
,,,,,,1300,0.1555748,0.262026,0.232299,0.1616222,0.188478,-0.02244876,-0.04922,0.07702416,-0.04921238,0.04385612,0.4259236
65,0.15,0.15,0.25,0.2,0.25,1000,0.1726874,0.1586866,0.1968374,0.2386488,0.2331396,-0.09862008,-0.03031,0.223133,-0.161855,0.0676546,0.431547
,,,,,,1100,0.1654256,0.1591484,0.2092918,0.230002,0.236132,-0.05307726,-0.03864,0.1603056,-0.11869718,0.05011114,0.458879
,,,,,,1200,0.158332,0.1596414,0.2246284,0.2191286,0.2382704,-0.04102098,-0.03893,0.12786668,-0.09117506,0.04326302,0.4494134
,,,,,,1300,0.1579754,0.1591842,0.2282338,0.217874,0.2367326,-0.03749976,-0.03464,0.09095022,-0.0683276,0.0495152,0.4551404
66,0.15,0.25,0.15,0.2,0.25,1000,0.1587598,0.2588322,0.126288,0.2184798,0.2376398,-0.03108138,-0.03186,0.0858746,-0.06372854,0.04079138,0.3976556
,,,,,,1100,0.1561288,0.259014,0.1332986,0.2140878,0.237471,-0.02456318,-0.03583,0.07163076,-0.0540529,0.04281864,0.4025312
,,,,,,1200,0.1550062,0.2590204,0.135868,0.211842,0.2382636,-0.0173858,-0.02939,0.04625296,-0.036905504,0.03742836,0.4417106
,,,,,,1300,0.1530518,0.2617108,0.1379464,0.2092036,0.2380872,-0.011862842,-0.04132,0.0456028,-0.03508666,0.0426626,0.4101092
67,0.15,0.25,0.25,0.2,0.15,1000,0.1718716,0.260746,0.2010784,0.2337746,0.1325292,-0.08730246,-0.03711,0.1931438,-0.1332722,0.06453722,0.3970644
,,,,,,1100,0.1667208,0.260053,0.2127424,0.225218,0.1352658,-0.0630711,-0.0412,0.144893,-0.09713632,0.05651728,0.4602464
,,,,,,1200,0.1650416,0.2606204,0.2175738,0.2199364,0.1368284,-0.05558112,-0.03791,0.1285622,-0.08231554,0.04723994,0.413279
,,,,,,1300,0.1580102,0.2590924,0.233232,0.2126116,0.1370538,-0.0257078,-0.03199,0.04936786,-0.03346916,0.04180374,0.4174572
68,0.15,0.15,0.2,0.25,0.25,1000,0.1683502,0.158058,0.1507236,0.2901852,0.2326828,-0.07861904,-0.03428,0.2159978,-0.1707088,0.06760934,0.470264
,,,,,,1100,0.1662238,0.155822,0.161975,0.2831402,0.2328388,-0.06680726,-0.02271,0.159379,-0.1313396,0.06147292,0.4277454
,,,,,,1200,0.1593842,0.156525,0.1740236,0.2743068,0.2357604,-0.04117412,-0.01859,0.10330128,-0.0972046,0.05366782,0.4597126
,,,,,,1300,0.1557092,0.157838,0.1787574,0.2711514,0.236544,-0.021853692,-0.02684,0.08606656,-0.08646248,0.04909366,0.4157844
69,0.15,0.25,0.2,0.15,0.25,1000,0.1638214,0.2609204,0.1690582,0.1688162,0.2373836,-0.05509004,-0.03752,0.12547778,-0.07394582,0.04107804,0.4081718
,,,,,,1100,0.159528,0.260079,0.178729,0.1631862,0.2384776,-0.03835146,-0.03686,0.08765558,-0.05517238,0.04272666,0.4264888
,,,,,,1200,0.1558448,0.2605006,0.1830002,0.160709,0.2399454,-0.02044921,-0.03917,0.06392876,-0.0372352,0.03292778,0.4260012
,,,,,,1300,0.150955,0.2606598,0.1903606,0.1569602,0.2410648,0.006612548,-0.03829,0.028749418,-0.02258094,0.02550541,0.4316724
70,0.15,0.25,0.2,0.25,0.15,1000,0.1706258,0.2575126,0.152254,0.2879212,0.1316862,-0.083454,-0.02695,0.2078328,-0.1680346,0.07060896,0.416195
,,,,,,1100,0.1671148,0.2576566,0.1608842,0.2797732,0.134571,-0.0647775,-0.03294,0.1512014,-0.11159492,0.05811238,0.4176382
,,,,,,1200,0.1581062,0.2580926,0.1794352,0.2678232,0.1365428,-0.03633076,-0.03148,0.0972074,-0.08478084,0.05538842,0.4375442
,,,,,,1300,0.1585154,0.2576212,0.1826022,0.2649078,0.1363536,-0.03525616,-0.02386,0.06902414,-0.06272374,0.05281922,0.4292058
71,0.15,0.2,0.15,0.25,0.25,1000,0.1599032,0.2065678,0.1220166,0.2769444,0.2345682,-0.03273054,-0.01912,0.0877156,-0.0883302,0.0524644,0.3954806
,,,,,,1100,0.156563,0.20947,0.1283134,0.2689804,0.2366734,-0.027019274,-0.03388,0.0916762,-0.082331,0.05155204,0.4323124
,,,,,,1200,0.1556726,0.2082828,0.1316702,0.267852,0.236522,-0.020714636,-0.02623,0.0640565,-0.06146794,0.04435518,0.3863066
,,,,,,1300,0.1549698,0.2093908,0.132983,0.2667636,0.2358926,-0.016011986,-0.0313,0.06102842,-0.0649486,0.0512355,0.4679146
72,0.15,0.2,0.25,0.15,0.25,1000,0.1686958,0.2118728,0.2062226,0.1763168,0.2368918,-0.07172126,-0.03797,0.1671722,-0.10680354,0.04932078,0.401988
,,,,,,1100,0.1645844,0.2108646,0.2192954,0.1681722,0.2370838,-0.05115356,-0.04076,0.10934724,-0.06693518,0.04949958,0.4168388
,,,,,,1200,0.1584942,0.2113772,0.2256634,0.1657794,0.2386862,-0.03375732,-0.0424,0.09904392,-0.06600716,0.04311652,0.4500758
,,,,,,1300,0.1549476,0.2101352,0.2343256,0.1615766,0.239015,-0.020136555,-0.03662,0.05823404,-0.04376552,0.04228414,0.4094096
73,0.15,0.2,0.25,0.25,0.15,1000,0.1814158,0.2105124,0.1699058,0.310275,0.127891,-0.1273934,-0.03637,0.3213176,-0.2434494,0.08589252,0.4394472
,,,,,,1100,0.173741,0.2078152,0.1920736,0.2961264,0.1302434,-0.09473504,-0.02299,0.225353,-0.1791472,0.07151864,0.425052
,,,,,,1200,0.161527,0.2093872,0.2208992,0.2722136,0.1359732,-0.04169682,-0.03428,0.10630384,-0.08273944,0.05241712,0.3979938
,,,,,,1300,0.1607534,0.2104646,0.219879,0.275104,0.133799,-0.04005346,-0.03984,0.11908158,-0.09991268,0.06072674,0.4463568
74,0.2,0.15,0.15,0.25,0.25,1000,0.2148204,0.1557024,0.1182144,0.2776254,0.2336374,-0.0482977,-0.02356,0.11334038,-0.10069424,0.05921168,0.4196854
,,,,,,1100,0.2105608,0.1560988,0.1282606,0.270132,0.2349472,-0.0358269,-0.02617,0.08027592,-0.07151722,0.05323954,0.4421282
,,,,,,1200,0.205673,0.1567584,0.1353058,0.2660518,0.2362112,-0.016886142,-0.02316,0.05226678,-0.06082532,0.04860778,0.4135296
,,,,,,1300,0.2047124,0.1582164,0.1342328,0.2664562,0.2363824,-0.02118304,-0.02644,0.07371224,-0.07782586,0.05173846,0.4704982
75,0.2,0.15,0.25,0.15,0.25,1000,0.2301882,0.1576072,0.1973398,0.1810472,0.2338174,-0.1279176,-0.02468,0.221491,-0.1319624,0.06306466,0.4273686
,,,,,,1100,0.2211698,0.1580854,0.2134092,0.1713498,0.2359856,-0.09621108,-0.02734,0.1676526,-0.09390692,0.04980424,0.4530292
,,,,,,1200,0.2100324,0.160458,0.2294874,0.1632296,0.236793,-0.04629624,-0.04044,0.0986055,-0.056045,0.04417072,0.4527604
,,,,,,1300,0.2073366,0.161741,0.230766,0.1637086,0.2364476,-0.028323104,-0.04183,0.07935452,-0.0569098,0.0477041,0.4525314
76,0.2,0.15,0.25,0.25,0.15,1000,0.2506326,0.1580874,0.144529,0.3246588,0.1220922,-0.2148508,-0.03105,0.4488956,-0.3190034,0.1160132,0.4741502
,final HEA3,,,,,1100,0.236745,0.1565272,0.1767308,0.3024738,0.1275238,-0.136675,-0.01815,0.2732512,-0.1983822,0.07995632,0.4404216
,,,,,,1200,0.2217198,0.1580618,0.202671,0.2863232,0.1312238,-0.07809074,-0.03056,0.1770574,-0.1392596,0.07085552,0.4496196
,,,,,,1300,0.216063,0.1575528,0.2162332,0.2760356,0.1341158,-0.08214294,-0.03052,0.168173,-0.12232366,0.06681438,0.4543472
77,0.1,0.1,0.3,0.3,0.2,1000,0.1343454,0.1116082,0.176792,0.4062056,0.1710486,-0.1396312,-0.04426,0.507928,-0.4388612,0.1148292,0.4743958
,,,,,,1100,0.1269778,0.1092896,0.2068606,0.3833198,0.1735518,-0.11619138,-0.03716,0.4003006,-0.3523626,0.1054105,0.495876
,,,,,,1200,0.1176628,0.1068408,0.236914,0.3574374,0.1811454,-0.07509452,-0.03005,0.276138,-0.2423086,0.0713104,0.4513786
,,,,,,1300,0.1105928,0.1067302,0.2599048,0.339402,0.18337,-0.04587272,-0.02456,0.1669418,-0.1604782,0.06396684,0.4495336
78,0.1,0.3,0.1,0.3,0.2,1000,0.103343,0.3092928,0.08151838,0.3192418,0.186604,-0.009396974,-0.03013,0.0663932,-0.07392422,0.047056,0.3937386
,,,,,,1100,0.103343,0.3092928,0.08151838,0.3192418,0.186604,-0.009396974,-0.03013,0.0663932,-0.07392422,0.047056,0.3937386
,,,,,,1200,0.10094252,0.3075566,0.09088162,0.3106208,0.1899988,0.000220032,-0.02749,0.03749714,-0.04580138,0.03557884,0.4094888
,,,,,,1300,0.10075864,0.3084058,0.09253058,0.3072272,0.191078,0.000755746,-0.02815,0.02661234,-0.03090994,0.031695198,0.3864538
79,0.1,0.3,0.3,0.1,0.2,1000,0.1074414,0.3135328,0.2792254,0.1107596,0.1890406,-0.03241914,-0.05333,0.096183,-0.04647046,0.03603566,0.392091
,,,,,,1100,0.1056796,0.3136178,0.282529,0.1084566,0.1897172,-0.02071687,-0.05332,0.0717956,-0.03345362,0.03569802,0.4090698
,,,,,,1200,0.10320636,0.314274,0.2859402,0.1060434,0.1905358,-0.008683292,-0.05263,0.04788714,-0.02119402,0.03462294,0.4147288
,,,,,,1300,0.10130454,0.313563,0.2911634,0.10319502,0.1907736,-0.00309336,-0.0495,0.036225252,-0.015866878,0.0322364,0.4203686
80,0.1,0.1,0.3,0.2,0.3,1000,0.1202056,0.108537,0.2374292,0.24746,0.2863682,-0.07581154,-0.03572,0.2488644,-0.1853754,0.04804048,0.4458472
,,,,,,1100,0.1116494,0.1087882,0.2596414,0.2329456,0.2869752,-0.04741868,-0.03187,0.1683662,-0.1366676,0.04758658,0.4419656
,,,,,,1200,0.1062186,0.1081408,0.2732546,0.2236508,0.2887348,-0.023270278,-0.02995,0.0988101,-0.0905405,0.04495084,0.459154
,,,,,,1300,0.1061622,0.107114,0.2812478,0.2180758,0.2874004,-0.02375152,-0.02452,0.08423264,-0.077945,0.0419831,0.4818484
81,0.1,0.3,0.1,0.2,0.3,1000,0.10117458,0.3108208,0.08693212,0.211428,0.2896444,-0.00264078,-0.03956,0.04737628,-0.04389186,0.03871648,0.406449
,,,,,,1100,0.09993238,0.3103308,0.09057672,0.207979,0.291181,-0.000209976,-0.03497,0.0390104,-0.03443756,0.03060934,0.4049136
,,,,,,1200,0.10022842,0.3109374,0.09106698,0.207057,0.2907102,-0.004447483,-0.03976,0.04063572,-0.029172504,0.03274678,0.4079014
,,,,,,1300,0.09987896,0.3110776,0.09208306,0.2068124,0.290148,0.002514632,-0.03858,0.0290991,-0.02775674,0.03472112,0.4160132
82,0.1,0.3,0.3,0.2,0.1,1000,0.1107142,0.3124656,0.2684698,0.2193458,0.08900476,-0.04431874,-0.04167,0.1223076,-0.07699406,0.0406797,0.402178
,,,,,,1100,0.1118948,0.3123106,0.2644232,0.2243448,0.0870266,-0.0551548,-0.04819,0.1673512,-0.117021,0.05301812,0.4096824
,,,,,,1200,0.10401464,0.3105674,0.2878788,0.20692,0.09061914,-0.015870952,-0.03762,0.05818858,-0.04120468,0.036507264,0.3967312
,,,,,,1300,0.1023724,0.3082296,0.291837,0.2060158,0.09154514,-0.011105132,-0.02765,0.03775844,-0.03211534,0.03311068,0.4016586
83,0.1,0.1,0.2,0.3,0.3,1000,0.1140442,0.1049292,0.1474628,0.3537678,0.2797958,-0.0443371,-0.01473,0.1839568,-0.199262,0.07437216,0.4261988
,,,,,,1100,0.1072642,0.10683,0.1685918,0.3329746,0.2843394,-0.02739572,-0.02441,0.1350126,-0.1432132,0.0600086,0.4422942
,,,,,,1200,0.1056148,0.105832,0.17311,0.3298388,0.2856044,-0.014902942,-0.02089,0.09348394,-0.11276996,0.05507894,0.4064598
,,,,,,1300,0.1047646,0.1037506,0.1771466,0.327925,0.2864132,-0.014292524,-0.00903,0.0751007,-0.09310804,0.04133426,0.4223062
84,0.1,0.3,0.2,0.1,0.3,1000,0.1040356,0.3130922,0.1823684,0.1083256,0.2921782,-0.01397754,-0.04606,0.06173162,-0.031975,0.0302764,0.3947762
,,,,,,1100,0.10252,0.3141158,0.1864162,0.1060438,0.290904,-0.005441886,-0.05863,0.05381076,-0.01944382,0.02970333,0.3837304
