,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder,Gamma_sum,MC/MD comp. std,,,,,MC/MD adsorption std,,,,,Disorder std,V_tot,V_free,difference,,,,
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,,Co,Ni,Cr,Fe,Mn
,,,,,,1300,0.157688,0.2089398,0.1778036,0.2704398,0.185129,-0.034919224,-0.03282,0.09268494,-0.0844577,0.0595113,0.4477642,0.000000056000,0.003142115,0.001850737,0.003725066,0.004497227,0.002167876,0.019247803,0.010366784,0.027837575,0.013257027,0.014356502,0.015834604,12.367901,0.069260246,0.003439152,0.03282,-0.042232747,0.04999582,-0.03706464
5,0.15,0.2,0.2,0.2,0.25,1000,0.1666198,0.2097402,0.1618578,0.227337,0.2344448,-0.0766436,-0.03793,0.1738878,-0.1196804,0.06036694,0.4364598,0.000000180000,0.002653369,0.002349735,0.003609102,0.004594533,0.002641945,0.008497583,0.008801726,0.010357938,0.012006662,0.017468943,0.006447889,12.225304,0.220055472,-0.07051098,0.03793,0.155529226,-0.10533123,-0.004202654
,,,,,,1100,0.1613988,0.208129,0.1728038,0.220773,0.2368958,-0.05134486,-0.02977,0.1252102,-0.0923787,0.04828816,0.408049,-0.000000060000,0.002332211,0.0016313,0.003301267,0.002850207,0.001220196,0.013140237,0.010021174,0.011522118,0.012014755,0.011172944,0.007117037,12.276825,-0.07366095,-0.020751998,0.02977,0.032222171,-0.015157073,-0.01870639
,,,,,,1200,0.1564984,0.2101326,0.1787326,0.2169394,0.2376972,-0.018346671,-0.03369,0.07102226,-0.06054776,0.04156456,0.4182862,0.000000009400,0.001466343,0.001484012,0.003369555,0.003025175,0.001444023,0.016083942,0.004114728,0.013632698,0.014045089,0.01108195,0.018397996,12.333109,0.011593122,-0.035053138,0.03369,0.039195764,-0.014737776,-0.01632598
,,,,,,1300,0.155819,0.208562,0.184016,0.2119386,0.2396646,-0.024405676,-0.03774,0.07087652,-0.04567312,0.0369413,0.4665962,-0.000000076000,0.002484953,0.001202538,0.005464874,0.00446674,0.001416379,0.015189975,0.010054866,0.02445692,0.017943026,0.013712258,0.010936183,12.396213,-0.094211219,-0.0131383,0.03774,-0.010705885,0.004572959,-0.010170812
6,0.1,0.3,0.2,0.2,0.2,1000,0.1099924,0.311448,0.1677888,0.2238338,0.1869368,-0.03195516,-0.03900,0.10747432,-0.0811604,0.04463948,0.4075044,-0.000000080000,0.001845659,0.002740301,0.004082094,0.003207202,0.001382342,0.009717027,0.012131441,0.018901973,0.012556322,0.013521841,0.006005932,12.174093,-0.097392744,-0.065917329,0.03900,0.111620894,-0.068494801,-0.007284622
,,,,,,1100,0.107315,0.3115594,0.1756762,0.2181746,0.1872752,-0.02509798,-0.04169,0.08990362,-0.07083026,0.04771302,0.4071502,-0.000000060000,0.003962104,0.003198071,0.003902289,0.002663737,0.00105238,0.012089562,0.011785304,0.023584026,0.018461273,0.006624379,0.004927379,12.224301,-0.073345806,-0.045882568,0.04169,0.065091151,-0.035040486,-0.018589278
,,,,,,1200,0.1035148,0.3111848,0.1848472,0.210614,0.1898394,-0.007067174,-0.04259,0.0514411,-0.03586968,0.0340892,0.4169696,-0.000000014000,0.002063058,0.00149403,0.004140869,0.002899424,0.003479098,0.007891622,0.006495064,0.01629507,0.017815646,0.014502246,0.008257887,12.283531,-0.017196943,-0.045303053,0.04259,0.056651853,-0.037964304,-0.009337236
,,,,,,1300,0.10157456,0.3120184,0.1874076,0.2087058,0.1902938,-0.002255834,-0.04350,0.04242412,-0.032246598,0.03558096,0.421784,-0.000000032000,0.00199978,0.002945007,0.003349269,0.003658943,0.00212818,0.017687655,0.01217754,0.009605517,0.015699264,0.016762483,0.014194095,12.344131,-0.039501219,-0.020858614,0.04350,-0.005379269,0.006942738,-0.019099354
7,0.1,0.2,0.3,0.2,0.2,1000,0.120516,0.2107494,0.242896,0.2426698,0.1831688,-0.081268,-0.03770,0.2311722,-0.1707954,0.05858926,0.4228666,-0.000000200000,0.003396812,0.001566882,0.004808066,0.003511553,0.001617189,0.014861619,0.013429461,0.031365556,0.026545728,0.014880424,0.012166492,12.285884,-0.24571768,-0.042750953,0.03770,0.046453918,-0.018839927,-0.011255117
,,,,,,1100,0.1116864,0.2107464,0.2621026,0.228404,0.1870606,-0.04022258,-0.04070,0.138145,-0.10259262,0.04537278,0.4586238,-0.000000220000,0.002514363,0.002905171,0.003822608,0.00211259,0.001348062,0.008431511,0.021006567,0.022897065,0.015211112,0.009575215,0.009593179,12.335404,-0.271378888,-0.09468818,0.04070,0.156449263,-0.09863297,0.009981908
