,Initial Comp.,,,,,,MC/MD comp.,,,,,MC/MD adsorption,,,,,Disorder,Gamma_sum,MC/MD comp. std,,,,,MC/MD adsorption std,,,,,Disorder std,V_tot,V_free,difference,,,,
#,Co,Ni,Cr,Fe,Mn,Temp,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,Co,Ni,Cr,Fe,Mn,Co,Ni,Cr,Fe,Mn,,,,Co,Ni,Cr,Fe,Mn
48,0.20,0.05,0.20,0.35,0.20,1000,0.243243,0.05199962,0.09719788,0.4420834,0.1654764,-0.1870792,-0.00545,0.4441648,-0.3948974,0.14326,0.4925834,0.000000090000,0.002092312,0.002279351,0.004230348,0.004303419,0.003403284,0.00627787,0.012518697,0.015880886,0.017175244,0.012208487,0.004538677,12.270563,0.110435067,-0.055597747,0.00545,0.099086509,0.023824102,-0.050637823
,sample1,,final HEA2,,,1100,0.231328,0.05098754,0.1303802,0.4137888,0.173515,-0.1228802,-0.00348,0.2723118,-0.2484956,0.10254692,0.4554908,-0.000000299620,0.002984092,0.000822544,0.002529401,0.002050214,0.002014158,0.018153341,0.002677839,0.014491667,0.015059209,0.012177189,0.011896643,12.312817,-0.368916623,-0.008139374,0.00348,0.013785579,0.053073893,-0.048788808
,,,,,,1200,0.2222918,0.05066068,0.1491884,0.3998804,0.1779784,-0.07355014,-0.00070,0.1694662,-0.1718248,0.07661116,0.439581,0.000000308000,0.002941708,0.001724715,0.005708639,0.003401028,0.002180506,0.012302763,0.013695782,0.021954967,0.011657017,0.003156079,0.013765178,12.367646,0.380923497,0.003497798,0.00070,-0.024877091,0.073061748,-0.043502022
,,,,,,1300,0.2181594,0.05201818,0.159419,0.3930152,0.1773878,-0.07048092,-0.00781,0.1618878,-0.1725164,0.08892448,0.5074024,0.000000174000,0.002678457,0.001408371,0.004550145,0.004682566,0.001479966,0.013600984,0.012005979,0.02547271,0.015588158,0.015826788,0.012227171,12.434647,0.216362858,0.019797347,0.00781,-0.080658717,0.117032054,-0.052784889
49,0.20,0.05,0.20,0.20,0.35,1000,0.2189666,0.05391672,0.1614706,0.2304782,0.335168,-0.0543703,-0.01257,0.11824254,-0.10416572,0.05286626,0.404528,-0.000000522000,0.00375406,0.000743638,0.003280495,0.002849271,0.002697836,0.016140632,0.007105439,0.020274781,0.012514487,0.004712207,0.014557937,12.336451,-0.643962742,-0.038436356,0.01257,0.089512412,-0.0377434,-0.017444871
,,,,,,1100,0.215905,0.05418412,0.1675822,0.2281238,0.3342052,-0.04760426,-0.01703,0.10823446,-0.09936752,0.05576628,0.4624578,-0.000000134000,0.003295278,0.001336619,0.003353529,0.002719048,0.002065554,0.00873363,0.008531781,0.008696554,0.01861985,0.012315836,0.003519651,12.396641,-0.166114989,-0.092068328,0.01703,0.196757841,-0.108960555,0.001542215
,,,,,,1200,0.209473,0.0551976,0.1775564,0.2221462,0.335627,-0.02845438,-0.02061,0.07751254,-0.08165066,0.05320262,0.5154908,0.000000020000,0.002443551,0.00104949,0.002302811,0.00163096,0.001689141,0.005345991,0.005257917,0.014543766,0.007681037,0.002769017,0.009125594,12.461707,0.024923414,-0.100959426,0.02061,0.189599541,-0.100802947,0.00796278
,,,,,,1300,0.2059846,0.05644234,0.182795,0.219821,0.3349576,-0.023175004,-0.02658,0.08016066,-0.08970318,0.0593022,0.5606762,-0.000000004000,0.001698584,0.000767277,0.003191027,0.003805907,0.002339614,0.014473972,0.00355351,0.016301522,0.019736332,0.018023037,0.012757362,12.53655,-0.00501462,-0.044662732,0.02658,0.0285609,0.01543982,-0.010930944
50,0.35,0.20,0.05,0.20,0.20,1000,0.3490642,0.2100116,0.04734824,0.2031648,0.1904114,0.0002578,-0.03202,0.011549014,-0.01704002,0.0372516,0.380574,0.000000014000,0.003763086,0.001757186,0.000767718,0.001782067,0.00256591,0.023784956,0.012174992,0.004277961,0.005391314,0.018460307,0.009921535,11.939137,0.016714792,-0.052294748,0.03202,0.10493976,-0.062528815,-0.01739073
,,,,,,1100,0.3526916,0.207553,0.0466947,0.2029144,0.1901466,0.000444547,-0.03445,0.006606739,-0.007947884,0.03534652,0.3879176,0.000000022400,0.002801792,0.001361786,0.001898818,0.002108379,0.002523575,0.010338852,0.009616859,0.006858323,0.011859966,0.00763102,0.008284651,11.993097,0.026864537,-0.047538206,0.03445,0.096228067,-0.06229447,-0.016023711
,,,,,,1200,0.3495536,0.2105614,0.04597808,0.2033364,0.1905702,0.002392747,-0.04042,0.019242832,-0.02091848,0.0397004,0.414902,-0.000000041220,0.003065951,0.002391639,0.001772883,0.000749362,0.002875449,0.013736884,0.013196056,0.009953507,0.006942822,0.019923059,0.00912576,12.050836,-0.049673546,-0.053146111,0.04042,0.08551289,-0.050635975,-0.015712621
,,,,,,1300,0.3486662,0.2101566,0.04769436,0.2030182,0.1904648,0.009031882,-0.03903,0.007308846,-0.010310228,0.03299827,0.4359146,-0.000000010000,0.003092468,0.002149771,0.001397532,0.003304979,0.001978785,0.030060454,0.011432398,0.010309961,0.011285962,0.015301675,0.003273523,12.107436,-0.012107436,-0.036696383,0.03903,0.037028242,-0.019974669,-0.013272278
51,0.20,0.35,0.05,0.20,0.20,1000,0.2018202,0.3582066,0.04545412,0.2029454,0.1915738,-0.01663239,-0.02654,0.0240568,-0.017636532,0.03675154,0.3857788,-0.000000009200,0.002247573,0.004046031,0.00145609,0.003269987,0.002771724,0.013574489,0.024641275,0.009817081,0.018401869,0.009389581,0.006786194,11.99303,-0.011033588,-0.044263128,0.02654,0.112262575,-0.075477795,-0.013509632
,,,,,,1100,0.199024,0.3603876,0.04590854,0.2016942,0.1929856,0.005621982,-0.02980,0.013398638,-0.010467712,0.021248048,0.3800706,0.000000012000,0.002627638,0.002803746,0.001137369,0.002542901,0.001539261,0.021821884,0.015735338,0.009517787,0.019800058,0.008782108,0.004406712,12.040223,0.014448268,-0.042969667,0.02980,0.068154633,-0.045238075,-0.00592407
,,,,,,1200,0.199173,0.3615046,0.04613612,0.2014682,0.191718,0.00084761,-0.04680,0.01657212,-0.006548234,0.035925586,0.3961928,-0.000000038000,0.003762428,0.004612022,0.002367963,0.00398164,0.003063628,0.011529428,0.014065406,0.005549893,0.020608562,0.018814125,0.00920636,12.1025,-0.0459895,-0.03697038,0.04680,0.057985831,-0.044379328,-0.018852727
,,,,,,1300,0.200678,0.3610176,0.04536718,0.201723,0.1912144,-0.006311436,-0.04185,0.020195362,-0.007162754,0.03512472,0.4235566,-0.000000028000,0.00253911,0.000976885,0.002133293,0.003920342,0.003738438,0.014500072,0.01060298,0.013685426,0.015731814,0.013920503,0.014774111,12.163285,-0.034057198,-0.017373789,0.04185,0.017764257,-0.018765948,-0.018236125
52,0.20,0.20,0.05,0.35,0.20,1000,0.1984902,0.206735,0.042691,0.3618342,0.1902496,0.014136308,-0.02902,0.021780766,-0.04120086,0.03430222,0.379821,0.000000014000,0.002525516,0.000847889,0.001472549,0.002923278,0.001729534,0.014997072,0.00495852,0.009346768,0.012718921,0.015854981,0.00498601,12.125134,0.016975188,-0.06489165,0.02902,0.091839033,-0.036408293,-0.014930498
,,,,,,1100,0.2004422,0.2067244,0.04407148,0.3590984,0.1896634,-0.00274908,-0.02097,0.02709382,-0.03786834,0.0344984,0.3936834,0.000000034000,0.003246349,0.002796969,0.001117681,0.002876206,0.001767929,0.022069081,0.01506648,0.005369956,0.016561673,0.013816679,0.010866542,12.177326,0.041402908,-0.051505703,0.02097,0.091378182,-0.043055159,-0.012237339
,,,,,,1200,0.2023806,0.2051132,0.0450698,0.3574146,0.1900222,-0.004179486,-0.01647,0.01698838,-0.0297798,0.033436258,0.378545,0.000000000000,0.004744369,0.001326154,0.001691832,0.00240244,0.001926287,0.02629312,0.007400383,0.002348301,0.007174071,0.018082698,0.013395403,12.231621,0,-0.018142704,0.01647,0.029084963,-0.001691063,-0.022886026
,,,,,,1300,0.198573,0.207815,0.0467701,0.3553866,0.1914552,0.005077278,-0.02464,0.011952282,-0.0226748,0.03028368,0.416307,-0.000000020000,0.002866091,0.003559409,0.000710718,0.004860598,0.002514743,0.029872644,0.020277706,0.004411019,0.020392224,0.014371076,0.012491934,12.298857,-0.024597714,-0.026428132,0.02464,0.022266108,-0.000698418,-0.015059593
53,0.20,0.20,0.05,0.20,0.35,1000,0.1989634,0.2099304,0.04409044,0.2075212,0.3394944,0.00479003,-0.03807,0.025336234,-0.032896668,0.0408413,0.424256,-0.000000004000,0.003036552,0.003160643,0.001863143,0.003533068,0.002152823,0.022248107,0.014755225,0.013414756,0.019370665,0.017492902,0.006298234,12.187992,-0.004875197,-0.131173742,0.03807,0.257583581,-0.160354572,0.007395398
,,,,,,1100,0.198953,0.2087304,0.04508618,0.2090002,0.3382304,0.003721618,-0.02398,0.017634818,-0.03795296,0.04057518,0.4000778,-0.000000026200,0.001844037,0.00245312,0.001541566,0.001857868,0.001145771,0.008153005,0.015811679,0.009724688,0.015442526,0.012512667,0.007737636,12.248607,-0.03209135,-0.065918246,0.02398,0.11817918,-0.054816165,-0.015055533
,,,,,,1200,0.1970012,0.2110986,0.04649494,0.2072778,0.3381274,0.010033861,-0.04145,0.010554438,-0.0228651,0.04372202,0.4127036,-0.000000021200,0.003287199,0.002538395,0.001636617,0.001603103,0.003054847,0.018266989,0.01333637,0.005684231,0.006315175,0.01591254,0.004177896,12.304001,-0.026084482,-0.059068076,0.04145,0.090652935,-0.046265619,-0.020546769
,,,,,,1300,0.1964052,0.2133458,0.0458789,0.2082076,0.336162,0.013937438,-0.04773,0.015421856,-0.029184128,0.0475539,0.4729378,0.000000066000,0.001993318,0.002057064,0.000528432,0.002628899,0.000721781,0.015539485,0.011298475,0.005566885,0.021064048,0.006399762,0.012729612,12.383916,0.081733846,-0.05352341,0.04773,0.048021425,-0.014151447,-0.019327381
54,0.35,0.20,0.20,0.05,0.20,1000,0.3799846,0.2080586,0.1687112,0.05596404,0.1872812,-0.1316557,-0.02973,0.1432236,-0.02784386,0.04600712,0.4056938,-0.000000140000,0.003361546,0.001941007,0.003727294,0.001058577,0.000949959,0.027356348,0.011396883,0.023573757,0.004269839,0.015221492,0.008859803,11.917621,-0.166846694,0.036864852,0.02973,0.06897312,-0.117099255,-0.009828428
,,,,,,1100,0.3733334,0.2089646,0.1759532,0.05429168,0.187457,-0.07128142,-0.03828,0.08021754,-0.0119379,0.04128288,0.3980552,-0.000000100000,0.008439528,0.00449717,0.004571397,0.002341932,0.003113345,0.027384694,0.015516957,0.018774219,0.007874881,0.013467996,0.00524554,11.966738,-0.11966738,0.011596862,0.03828,0.050111046,-0.077084358,-0.01679395
,,,,,,1200,0.3630828,0.2099128,0.1858434,0.05263896,0.1885226,-0.04811122,-0.03396,0.05556254,-0.01195103,0.03846376,0.4144908,-0.000000030000,0.005323401,0.002952736,0.001855092,0.001793171,0.001891444,0.017691253,0.012543384,0.012169775,0.010745445,0.014129324,0.004640076,12.020003,-0.036060009,-0.002320586,0.03396,0.048529481,-0.059150077,-0.01462796
,,,,,,1300,0.3612496,0.2121804,0.1888652,0.05181168,0.185893,-0.0398642,-0.04272,0.039168468,-0.006413894,0.04983232,0.4544516,-0.000000046000,0.004787559,0.001539431,0.004287751,0.001416733,0.001273522,0.028713176,0.007692618,0.024686777,0.005618079,0.010424609,0.007963128,12.075607,-0.055547792,0.006230785,0.04272,0.014734825,-0.030405295,-0.025850233
55,0.20,0.35,0.20,0.05,0.20,1000,0.2129074,0.3632546,0.1809974,0.0529121,0.1899284,-0.04467044,-0.04392,0.0644574,-0.011686364,0.03582064,0.3900502,-0.000000004000,0.002921344,0.001891597,0.003584879,0.000717197,0.002352869,0.009888619,0.012831737,0.010065417,0.00234785,0.013429653,0.007951583,11.971086,-0.004788434,-0.023495,0.04392,0.088136265,-0.092544282,-0.00980403
,,,,,,1100,0.2111974,0.3616484,0.1845154,0.05268192,0.1899564,-0.04138056,-0.04216,0.06057128,-0.012254258,0.035225716,0.3951388,-0.000000002000,0.001627596,0.000952457,0.002003693,0.001031908,0.002460732,0.01384308,0.007777306,0.010987509,0.004340191,0.019686452,0.008134686,12.022633,-0.002404527,-0.01468183,0.04216,0.061847854,-0.071365369,-0.012222984
,,,,,,1200,0.2037022,0.3639282,0.1924848,0.05080866,0.189076,-0.021513052,-0.05150,0.03825096,-0.007351598,0.04211824,0.4112828,-0.000000030000,0.00095555,0.002248013,0.002168478,0.001299905,0.00068431,0.019113242,0.012196045,0.022783107,0.009323311,0.009662689,0.007833567,12.078872,-0.036236616,-0.026410098,0.05150,0.060663156,-0.060212689,-0.019468117
,,,,,,1300,0.2041588,0.3626452,0.192012,0.05175898,0.189425,-0.02933542,-0.04364,0.04082704,-0.009918776,0.04206972,0.4283602,0.000000003600,0.002960814,0.002611963,0.002694266,0.001026914,0.003034162,0.012567966,0.015041097,0.012287365,0.00832762,0.017532669,0.013247143,12.138769,0.004369957,0.004103436,0.04364,-0.000388475,-0.017703194,-0.024078218
56,0.20,0.20,0.35,0.05,0.20,1000,0.2260452,0.2130206,0.3110814,0.05878478,0.1910678,-0.1164892,-0.05218,0.179032,-0.04096352,0.03059892,0.4181114,0.000000140000,0.004066572,0.001757363,0.00288743,0.00181059,0.000784694,0.019999943,0.009692478,0.020202181,0.005184208,0.008980617,0.005323993,12.131674,0.169843436,0.000563597,0.05218,0.080476521,-0.136296399,0.013646245
,,,,,,1100,0.2148096,0.2110718,0.3291222,0.05518038,0.1898162,-0.050669748,-0.03822,0.07230358,-0.018375554,0.03496124,0.3903064,-0.000000092000,0.002981347,0.003085223,0.00316137,0.001570454,0.001189927,0.025685724,0.017648639,0.021376063,0.009510621,0.012459174,0.01414274,12.178824,-0.112045181,0.000609199,0.03822,0.037009795,-0.056292052,-0.014421099
,,,,,,1200,0.2116996,0.2127942,0.3315554,0.0551349,0.188816,-0.05114594,-0.04460,0.0800918,-0.02277562,0.03843148,0.4253322,-0.000000040000,0.003484595,0.001012985,0.001941733,0.001880314,0.003303453,0.017563128,0.005268361,0.012154682,0.00515777,0.011910856,0.004613805,12.228548,-0.048914192,-0.00776384,0.04460,0.041498891,-0.060278131,-0.010588699
,,,,,,1300,0.2046568,0.2126086,0.3404466,0.05228598,0.190002,-0.0246123,-0.04867,0.0492019,-0.012336492,0.03642162,0.4413348,0.000000008000,0.00514368,0.001593782,0.006455367,0.00187657,0.001686959,0.029356704,0.006237083,0.03793431,0.0106036,0.01501726,0.009874797,12.286168,0.009828934,-0.004797506,0.04867,-0.002067663,-0.019859025,-0.01545115
57,0.20,0.20,0.20,0.05,0.35,1000,0.2076514,0.211756,0.1837706,0.05379896,0.3430228,-0.025674144,-0.04094,0.06061308,-0.01503833,0.021037094,0.3833022,-0.000000020000,0.003210696,0.000959028,0.00285784,0.002108705,0.002431804,0.018336267,0.006483527,0.014675508,0.008114495,0.008206648,0.00695312,12.203329,-0.024406658,-0.0310062,0.04094,0.0662703,-0.071630646,0.000596015
,,,,,,1100,0.201812,0.2136618,0.1890184,0.0530663,0.3424412,-0.008503958,-0.05504,0.04708106,-0.012632912,0.02909774,0.4203808,-0.000000010000,0.00338967,0.002573314,0.001831868,0.001163772,0.003000588,0.014444304,0.007992905,0.016783277,0.005307123,0.00888962,0.0097242,12.257869,-0.012257869,-0.078908996,0.05504,0.143795892,-0.11774752,0.006768316
,,,,,,1200,0.2022878,0.2127526,0.1896346,0.05419742,0.3411278,0.003858884,-0.04061,0.02514162,-0.01433912,0.0259498,0.4010786,0.000000024000,0.003022171,0.001177773,0.000796086,0.00100479,0.001790492,0.020460107,0.008697802,0.006776175,0.008584706,0.010398425,0.010806589,12.326225,0.02958294,-0.043802349,0.04061,0.057302305,-0.041975037,-0.007071149
,,,,,,1300,0.1989724,0.2181536,0.191845,0.0523848,0.3386438,0.004018698,-0.06814,0.035371992,-0.009212792,0.03796156,0.4962002,0.000000018000,0.002636442,0.001467985,0.002164991,0.000990622,0.002622988,0.017696743,0.00915212,0.019119387,0.004427827,0.012832775,0.014540214,12.398472,0.02231725,-0.051095162,0.06814,0.040076083,-0.042322779,-0.004393994
58,0.35,0.20,0.20,0.20,0.05,1000,0.3679494,0.2087044,0.1700928,0.2120128,0.04124054,-0.1518218,-0.03131,0.2420444,-0.1091181,0.05020118,0.3905838,-0.000000302000,0.001540446,0.003483114,0.002207715,0.001704893,0.000887596,0.014573661,0.018780518,0.023759819,0.00955297,0.007484197,0.005505452,11.883943,-0.358895079,0.082748172,0.03131,-0.087417687,0.00349876,-0.023837944
,,,,,,1100,0.359543,0.2076044,0.186656,0.203215,0.0429821,-0.0813859,-0.02432,0.10749972,-0.0375603,0.03576808,0.3863606,-0.000000060000,0.005689247,0.002627564,0.004466151,0.001415449,0.000737776,0.023758752,0.009921767,0.022878484,0.008800365,0.007324495,0.007771072,11.923585,-0.07154151,0.036226035,0.02432,-0.008887591,-0.029797712,-0.017238718
,,,,,,1200,0.357906,0.2068808,0.1888114,0.202555,0.04384698,-0.0476555,-0.02250,0.06094344,-0.016964294,0.02617454,0.4005554,0.000000006000,0.00292894,0.001349786,0.002477252,0.002404031,0.000712055,0.019671623,0.009852795,0.012860163,0.011278117,0.009379892,0.005666028,11.969297,0.007181578,0.008121177,0.02250,0.020656009,-0.038773035,-0.007489264
,,,,,,1300,0.3391058,0.2095236,0.2121632,0.1919526,0.04725516,0.043533848,-0.03666,-0.04596686,0.02993406,0.009161246,0.3805458,-0.000000046000,0.001543487,0.001556313,0.002147191,0.001796374,0.001196434,0.020505339,0.006954696,0.013754824,0.008967884,0.006518438,0.005078761,12.024733,-0.055313772,-0.053369596,0.03666,0.061730326,-0.040701455,-0.00214793
59,0.20,0.35,0.20,0.20,0.05,1000,0.204037,0.359596,0.1897892,0.2033718,0.04320528,-0.01792397,-0.03406,0.041709728,-0.015678738,0.02595481,0.3747556,0.000000029620,0.001259539,0.001964367,0.002696861,0.001562589,0.001252379,0.015065212,0.016567136,0.025968599,0.012205909,0.013252466,0.006364938,11.922086,0.035313219,-0.024210061,0.03406,0.052610594,-0.048747711,-0.009873572
,,final HEA4,,,,1100,0.203296,0.3579128,0.1938662,0.2006208,0.0443043,-0.008125038,-0.02824,0.023563498,-0.0072996,0.02010428,0.4018436,0.000000000000,0.002611245,0.001104951,0.002086106,0.002560638,0.000855382,0.018755148,0.010182732,0.019055335,0.018192629,0.004699228,0.006955724,11.971193,0,-0.056264713,0.02824,0.117039456,-0.088740669,0.006315219
,,,,,,1200,0.2000408,0.3568762,0.2007416,0.1973836,0.04495814,0.02337878,-0.02848,-0.03758746,0.03200304,0.010685288,0.3669354,-0.000000032000,0.00320194,0.002546568,0.002057961,0.00378907,0.001322384,0.015154015,0.009947733,0.011194111,0.017049285,0.006573856,0.008528305,12.019578,-0.03846265,-0.036622263,0.02848,0.064922212,-0.050674319,-0.004425964
,,,,,,1300,0.1985358,0.358735,0.2007462,0.196811,0.04517194,0.004903238,-0.03476,0.00594893,0.00518542,0.018724332,0.3852378,-0.000000020000,0.002708308,0.001056836,0.002750125,0.001281923,0.001030507,0.021504153,0.00773606,0.021480126,0.010232681,0.008577443,0.007804361,12.06919,-0.02413838,-0.01624981,0.03476,0.012235889,-0.017606745,-0.010633733
60,0.20,0.20,0.35,0.20,0.05,1000,0.240913,0.2117458,0.2690724,0.2421964,0.03607206,-0.248763,-0.05767,0.49356,-0.2580256,0.07089402,0.4183696,0.000000100000,0.002533902,0.00162998,0.004775312,0.001601929,0.000252782,0.014016066,0.008280814,0.024663127,0.008572985,0.005456783,0.010982494,12.090904,0.12090904,0.132397941,0.05767,-0.233067722,0.080093716,-0.026481128
,,,,,,1100,0.225531,0.2082272,0.301371,0.2260932,0.03877744,-0.09819042,-0.02867,0.1866038,-0.10354494,0.0438037,0.4089536,0.000000000000,0.003033754,0.002528978,0.006866223,0.002749894,0.001578948,0.015481249,0.009936267,0.03593577,0.018243682,0.006027335,0.012546551,12.131049,0,0.024970049,0.02867,-0.0267181,-0.005666604,-0.013760945
,,,,,,1200,0.2151624,0.2070532,0.319812,0.2174002,0.04057234,-0.09421928,-0.02529,0.1785512,-0.09961536,0.04056898,0.4196596,0.000000020000,0.002608016,0.003211398,0.002747265,0.002947609,0.001666181,0.014351859,0.016669485,0.013218526,0.015009106,0.008504343,0.002220115,12.16511,0.02433022,0.039745473,0.02529,-0.066116426,0.022815651,-0.014822792
,,,,,,1300,0.1971932,0.2076826,0.3531586,0.1979422,0.0440233,-0.012955004,-0.03490,0.0385504,-0.01697397,0.02628036,0.406718,-0.000000034000,0.002202306,0.002644495,0.003734427,0.004259932,0.000762916,0.017556618,0.013359816,0.03287879,0.023075741,0.004755966,0.012208092,12.208269,-0.041508115,-0.005308192,0.03490,-0.009280509,-0.003019125,-0.013257907
61,0.20,0.20,0.20,0.35,0.05,1000,0.2298214,0.2049678,0.1275398,0.4046108,0.03306034,-0.1289132,-0.01671,0.3145926,-0.2384626,0.06949182,0.4068706,0.000000180000,0.00236302,0.002564263,0.005254203,0.002502779,0.001757979,0.007514983,0.002611448,0.021479788,0.016198348,0.013108373,0.00805359,12.077891,0.217402038,0.032119439,0.01671,-0.097912202,0.090456863,-0.032548678
,sample3,,final HEA1,,,1100,0.2179356,0.2029174,0.164423,0.3755308,0.0391931,-0.07934878,-0.01556,0.1744642,-0.12327242,0.04371324,0.3948404,-0.000000156000,0.002952305,0.001745274,0.003288321,0.004268451,0.00259255,0.019199855,0.005360468,0.016931311,0.026858064,0.013157453,0.017083789,12.126015,-0.189165834,0.023657003,0.01556,-0.052854345,0.040205579,-0.020862572
,,,,,,1200,0.2103002,0.2035946,0.1777978,0.3660012,0.04230608,-0.05976316,-0.01239,0.1367132,-0.10092446,0.03636018,0.4349362,0.000000154000,0.002471224,0.001706855,0.002526175,0.002347168,0.001194057,0.011246704,0.005307932,0.002983037,0.008953643,0.011558394,0.008955061,12.171282,0.187437743,-0.006656948,0.01239,0.000378923,0.007282299,-0.00496776
,,,,,,1300,0.2044576,0.2071386,0.1918672,0.3528028,0.04373392,-0.010071671,-0.02546,0.021717838,-0.005649032,0.01945866,0.4333092,-0.000000025000,0.003721199,0.002680422,0.002994256,0.001639177,0.001331676,0.012416165,0.01124294,0.016055171,0.011715884,0.009294283,0.011664477,12.223258,-0.030558145,-0.016753891,0.02546,0.021274708,-0.023717461,-0.000330868
62,0.15,0.15,0.25,0.25,0.20,1000,0.1841868,0.1581016,0.1681838,0.3137608,0.1757674,-0.1521832,-0.02599,0.3547602,-0.2750646,0.09847938,0.4485782,0.000000184000,0.001532134,0.001560447,0.002052258,0.003026282,0.002111769,0.011420738,0.011815608,0.010320807,0.015406765,0.009700975,0.007184969,12.25745,0.22553708,-0.015596896,0.02599,0.020828657,0.018514835,-0.034442981
,,,,,,1100,0.171051,0.1568484,0.1999144,0.2906026,0.1815834,-0.08565408,-0.02395,0.2044886,-0.1683084,0.07342102,0.4272554,0.000000000000,0.002240439,0.001019524,0.002604036,0.001360127,0.002235733,0.015384211,0.005664958,0.018145435,0.014217747,0.014280851,0.006731197,12.306754,0,-0.010297127,0.02395,0.00503268,0.025192772,-0.034051668
,,,,,,1200,0.1629,0.1564196,0.2177794,0.2792684,0.1836324,-0.04624524,-0.02872,0.11861562,-0.10637376,0.06272442,0.421455,0.000000060000,0.002990975,0.002124283,0.004809918,0.004243762,0.001806449,0.015109959,0.005140395,0.026247612,0.025053547,0.007409708,0.008468661,12.364771,0.074188626,-0.00963257,0.02872,-0.003282963,0.027594623,-0.036314652
,,,,,,1300,0.156319,0.1585568,0.2291226,0.2686538,0.1873476,-0.026708518,-0.03340,0.08771888,-0.07277392,0.04516518,0.4548664,-0.000000018000,0.002268781,0.002158054,0.001855525,0.002391424,0.00246241,0.022766777,0.009962148,0.018597844,0.011390366,0.017012137,0.004620575,12.420241,-0.022356434,-0.007058463,0.03340,-0.033601526,0.035808514,-0.021087855
63,0.15,0.25,0.15,0.25,0.20,1000,0.1618466,0.2575,0.1198114,0.276485,0.1843572,-0.04407066,-0.02507,0.11408328,-0.10333032,0.05838466,0.3870776,0.000000120000,0.003256963,0.002018479,0.004483232,0.003371701,0.002839275,0.015867553,0.003640412,0.028834912,0.020842574,0.009300664,0.011989806,12.149312,0.145791744,-0.019035415,0.02507,0.027184601,0.006835866,-0.034299051
,,,,,,1100,0.159705,0.2582054,0.1300196,0.265698,0.186372,-0.0325249,-0.03208,0.076669,-0.06151644,0.04945658,0.41439,-0.000000020000,0.001379727,0.002565284,0.002006634,0.002255056,0.000960688,0.018761468,0.011192076,0.003287501,0.010540336,0.015025246,0.009499433,12.204574,-0.024409148,-0.04744748,0.03208,0.097960543,-0.057766035,-0.016643436
,,,,,,1200,0.1549804,0.2565256,0.1369168,0.2626132,0.1889646,-0.0221005,-0.01929,0.05306446,-0.0538439,0.04216618,0.4055014,0.000000004000,0.002586347,0.002566232,0.002341834,0.003332309,0.001766119,0.013243295,0.013717083,0.016069176,0.022979604,0.009373018,0.008679756,12.259995,0.004903998,-0.021301595,0.01929,0.03651813,-0.007346394,-0.021652863
,,,,,,1300,0.1524268,0.259394,0.1399236,0.2595748,0.1886808,-0.008368283,-0.03511,0.0422596,-0.03713832,0.03836084,0.4084864,-0.000000043200,0.003022638,0.002848434,0.002569229,0.003036905,0.001504823,0.006629729,0.017225657,0.012769164,0.021130844,0.004079801,0.010824661,12.319769,-0.053221402,-0.010464338,0.03511,-0.012077108,0.016521864,-0.024932363
64,0.15,0.25,0.25,0.15,0.20,1000,0.1652212,0.2614218,0.2152268,0.1724828,0.1856472,-0.0595616,-0.03991,0.1422214,-0.09760024,0.05484926,0.4081156,0.000000040000,0.003625067,0.003567278,0.004439205,0.004694129,0.001506143,0.009608856,0.019026113,0.013908123,0.019088917,0.009867801,0.008984191,12.147491,0.048589964,-0.039351151,0.03991,0.079202523,-0.053645609,-0.017097366
,,,,,,1100,0.1637418,0.26153,0.2207402,0.165628,0.1883604,-0.05460842,-0.04120,0.11021944,-0.05444886,0.04003524,0.4060296,-0.000000080000,0.0031259,0.001231363,0.004505424,0.00140981,0.003693333,0.017215562,0.004895224,0.028322777,0.009696982,0.016515024,0.007787663,12.211708,-0.097693664,-0.014980343,0.04120,0.041736197,-0.049345974,-0.011482556
,,,,,,1200,0.1564244,0.2609806,0.2331962,0.1615634,0.1878354,-0.02385928,-0.04262,0.06243856,-0.0435252,0.04756164,0.4127078,0.000000040000,0.002886091,0.001635145,0.002884278,0.002083826,0.00152845,0.006154289,0.011200092,0.013887662,0.010448787,0.010172651,0.010782413,12.261694,0.049046776,-0.02517822,0.04262,0.038775592,-0.02561015,-0.024384837
,,,,,,1300,0.1555748,0.262026,0.232299,0.1616222,0.188478,-0.02244876,-0.04922,0.07702416,-0.04921238,0.04385612,0.4259236,0.000000060000,0.003822033,0.001197537,0.004176987,0.000827826,0.002332521,0.013390769,0.009655571,0.021126782,0.008642223,0.01015033,0.02812428,12.316022,0.073896132,-0.001998639,0.04922,-0.037843027,0.022449311,-0.026424061
65,0.15,0.15,0.25,0.20,0.25,1000,0.1726874,0.1586866,0.1968374,0.2386488,0.2331396,-0.09862008,-0.03031,0.223133,-0.161855,0.0676546,0.431547,0.000000000000,0.001419653,0.001605268,0.002233681,0.002534788,0.001698955,0.012465007,0.011124721,0.015218289,0.01414156,0.019242677,0.014844202,12.27421,0,-0.040172914,0.03031,0.087565963,-0.050371068,-0.014681669
,,,,,,1100,0.1654256,0.1591484,0.2092918,0.230002,0.236132,-0.05307726,-0.03864,0.1603056,-0.11869718,0.05011114,0.458879,-0.000000260000,0.003495958,0.002164178,0.006699118,0.005512774,0.001804905,0.018406078,0.01112506,0.028943738,0.027976419,0.012135365,0.008911581,12.33555,-0.3207243,-0.082150458,0.03864,0.134980781,-0.083001168,0.005373598
